Discussion Topic,Visits count for the discussion,Username,User's post count,User's message
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،،,277849,دریا311,1352,آلبالو جون شرمنده خیلی سوال میپرسم اگه نصف پیمونه پودر دکلره بریزم توش روشن تر و بهتر نمیشه؟
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،،,277849,دمپایی_ابری,138,دوستان کسی میدونه این کرم هایی که برای countoring  توی گریم صورت استفاده میشه بهش چی میگن؟  عکس هاش و توی اینترنت دیدم یه کیت هایی بود که داخلش چند رنگ مختلف کرم داشت  شکل آبرنگ بود .به اونا چی میگن؟
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،،,277849,شیدا194,7492,مررررررسی عزییییییزم...خیلی دوس دارم انجام بدم اما میترسم چون بعضیا میگن مزه های خودم میریزه ..لطف کردی
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،،,277849,شیدا194,7492,دمپایی جان منظورت پالته؟؟
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،،,277849,دریا311,1352,ممنونم آلبالو جون خیلی لطف کردی رنگ کردم بهت خبر میدم چطور شد
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،،,277849,شیدا194,7492,دمپایی منم پالت درما استفاده میکنم راضیم
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,youtobeسایتم,667,مرسی گلم حتما امتحان میکنم
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,ra_sh,2254,سلام. شب خوش...پوستم سبزه اس و میرم بیرون میام تیره و قرمز میشه..و مثل پوست پرتغال از نزدیک پوستم. انگار دون دون و صاف نیس و حالت شادابی نداره..چه کرمی بزنم روشن و شاداب بشه پوستم؟؟؟؟😍پوستم نه خشکه نه چرب
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,مامان_دو_تفنگدار,5700,سلام دوست عزیزم 🌷❤️چندتا سوال ازت داشتم اگه لطف کنی و وقتتو در اختیارم بزاری💋من خیلی سال موهامو شش ماه یکبار دکلره میکنم اینبار بعد شش ماه اومدم کاسه سرم که رشد ریشه مشکی داشت و هایلایت کردم ولی زیاد پایه نداد و کمی نارنجی داشتحالا بار به ذره موهام رشد ریشه داشت خوره افتاد به جونم که رنگ بزارم هم ریشه هام. رنگ بشه هم هایلاتهام تازه تر رنگ دودی ۷ زیتونی ۸ بژ ۸ با به عالمه واریاسیون سبز و آبی گذاشتم که مثلاً قرمز و نارنجی نشن ،😔نتیجه اینکه رنگم بشدت قرمز قهوه‌ای شده و بدرنگ و تموم لایتهام پوشیده شدنالان بنظرت چکار کنم که این قرمز قهوه‌ای پاک بشه و لایتام مشخص بشن؟ گفتن شامپو شیمیایی کن. بنظرت اوکیه؟ اگه آره بی زحمت برام فرمولش و‌بگو تا از دست این موها دق نکردم 😔
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,,,بچه ها باورتون نمیشه! برای بچم از «داستان من» با اسم و عکس خودش کتاب سفارش دادم، امروز رسید خیلی جذذذابه، شما هم برید ببینید، خوندن همه کتابها با اسم بچه خودتون مجانیه، کودکتون قهرمان داستان میشه، اینجا میتونید مجانی بخونید و سفارش بدید.
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,مامان_دو_تفنگدار,5700,مرسی عزیزمبنظرت ایراد کار کجا بوده ؟ ترکیب دودی و زیتونی و بژ ۸ با کلی واریاسیون سبز و آبی چطور باید یه همچین حجمی از قرمزی بده ؟
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,ra_sh,2254,سپاسگزارم
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,littleجوجه,284,سلام استارتر عزیزم من موهامو رنگ نکردم تا حالا این رنگ طبیعی موهامه عکسمیخام رنگ خرمایی روشن کنم موهامو که خیلی طبیعی باشه این مدلی شه عکسحالا بنظرتون چیکار‌کنم و چه رنگایی بخرم که موهام اسیب نبینه و خوب در بیاد؟
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,littleجوجه,284,کرسی عزیزم از کمکت🥰💓
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,عشاقشم,1145,سلام البالوجون من دوتا جوش فعال روی صورتم بود دست کاریشم نکردم ی هفست ک جوشه رفته  فقط جاش قرمز مونده. کرمی هست بکیرم بزنم جای جوشا بره مثل ی لک قرمز شدن بهم کرم معرفی کن بخرم خیلی ممنون
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,jana8036,754,سلام آلبالو جان.عزیزم من موهام رو رفتم آرایشگر برام دکلره کرد به قول همون خانوم پایه موهام به ۸ رو به ۹ رسید بعدش ی رنگ ترکیبی تقریبا عسلی با سلیقه خودش گذاشت ک اصلااا اونی ک من بهش با عکس نشون دادم نبود اصلا رنگی ک من بهش نشون دادم خییلی تیره تر بود.بعد از چن بار شستشو موهام شد زرد عقدی .به معنای واقعی کلمه شد زرد عقدی.موهای خودم مشکیه بعدش من قبلنا قهوه ای میزاشتم پوستم خوبه رنگش گندمی روشنم ولی با این زرد عقدی اصلا خوب نبودم خودم دوسش نداشتم رفتم ی لوازم آرایشی خوب شهرمون موهامو دید ی ترکیب رنگ مرواریدی با خاکستری با اکسیدان ۶ درصد و ی بند انگشت واریاسیون بنفش بهم داد این ترکیبو رو موهام گذاشتم ی زیتونی خوبی بهم داد.دوسش داشتم و بهم خیلی میومد بعد رنگ بعد ۴۸ ساعت رفتم حموم موهام روشنتر شد بعد ک دوباره رفتم حموم هی باز روشن تر شد.الان خیلی روشن شده ولی انگاری استپ زده از این روشن تر نشد دیگه .این دلیلش چیه ک رنگ از رو موهام پاک میشه چیکار کنم؟؟؟ ینی الان اون زرد عقدیه نیس ولی زیتونی خیییییییلیییییی روشنه.تورو خدا به دادم برس.موهام الان از ریشه ی سانتی دراومده .الان من چیکا کنم ک  این رنگا پاک نشه.چه رنگی بزارم با چه چیزی ک رنگ از موهام پاک نشه.پیشنهاد ترکیبی رنگ شما چیه؟خیر ببینی عزیزم.خواهش میکنم جوابمو خیلی واضح بده و راهکار بده بهم.خیییییلی ممنونم.ممنون ک هستی آلبالو جان.
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,barankhazan,341,سلام آلبالو جان مرسی که هستی و به سوالامون جواب می‌دیمن پایین موهام دکلره داره و یکمم آسیب دیدهریشه موهام سفیدی حدود ۲۰ درصد داره هر رنگ روشنی میزارم بازم سفیدیش معلومه چون پایین موهام روشنه نمی‌خوام رنگ تیره بزنم به ریشه‌هاچه رنگی می‌شه گذاشت که هم روشن باشه هم سفیدی رو بپوشونهروش شامپو شیمیایی برام خوبه؟ چون سفیدام خیلی زبر و رنگ ناپذیرهبازم ممنون
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,barankhazan,341,مرسی ازت همیشه بهترین و دقیق‌ترین جوابا رو میدی عاشقتم
آلبالو و پاسخ به پرسش های آرایشی پیرایشی ، بفرمایید تو ،،، ,277849,rosary_sorati,183,گلم پایین موهام  دکلره ست وسوخته اس چی روغنی ازعطاری بگیرم یکمی جون بگیرن
*بیاید به پوستمون برسیم*,233268,مامان_کیانا13,1336,سونیا پوست منم چرب جوشداره. تا حالا با هیچ روشی نتونستم جوشهام را کامل مهار کنم.فقط کم و زیاد میشند
*بیاید به پوستمون برسیم*,233268,only,4869,لطفا برا قرمزی جوش و جای جوش بگو پست اولو،مشکل خیلیاست
*بیاید به پوستمون برسیم*,233268,rozhan.rad,1273,من ماسک جوانه گندم با قلع دکتر عطاری بهم داد گفت با آب یا آبمیوه تازه بزن با کرم ضد لک شیرین بیان
*بیاید به پوستمون برسیم*,233268,,,بچه ها باورتون نمیشه! برای بچم از «داستان من» با اسم و عکس خودش کتاب سفارش دادم، امروز رسید خیلی جذذذابه، شما هم برید ببینید، خوندن همه کتابها با اسم بچه خودتون مجانیه، کودکتون قهرمان داستان میشه، اینجا میتونید مجانی بخونید و سفارش بدید.
*بیاید به پوستمون برسیم*,233268,only,4869,رژان تاثیر داشت برا جوشات؟؟؟
*بیاید به پوستمون برسیم*,233268,only,4869,سونیا جان این ماسکا که گفته برا چی هستن؟؟عسل و اب پیاز و بابونه
*بیاید به پوستمون برسیم*,233268,only,4869,برا جوش و جای جوش هست؟؟   ممنون
*بیاید به پوستمون برسیم*,233268,زرشک,523,ماسک عسل چجوره ?!
*بیاید به پوستمون برسیم*,233268,ژاکلین3,307,اخه پیازکه اشک ادمو درمیاره چشم میسوزه سخته
*بیاید به پوستمون برسیم*,233268,ژاکلین3,307,ینی چندساعت بمونه تو یخچال؟بدون در؟عمرا مامانم بزاره میگه بو میگیره😅
*بیاید به پوستمون برسیم*,233268,only,4869,پیاز برا جوش هست؟؟؟
*بیاید به پوستمون برسیم*,233268,only,4869,به دانه رو مرسانا گفت
*بیاید به پوستمون برسیم*,233268,ژاکلین3,307,اهان اینجوری بهتره دوسه ساعت بسه؟
*بیاید به پوستمون برسیم* ,233268,madresezendeginet,474,سامانه جذب باما دستیار سازمانها در جذب و استخدام افراد شایسته می باشدکارفرمای محترم با مراجعه به سامانه جذب باما و ثبت درخواست نیروی کار، مناسبترین افراد را به همراه شناسنامه تحلیل روانشناختی به شما معرفی می کنیم.کارجوی گرامی با ارسال رزومه کاری در سامانه جذب باما شغل متناسب با روحیات و تونایی هایتان را به شما معرفی می کنیم.                                                             https://madresezendeginet.ir/سامانه-جذب-با-ما
*بیاید به پوستمون برسیم* ,233268,سارا۱۲۴,7,سلام من بعد زایمام ۱ورتم پر لک شد و جوش زد رفتم دکتر پوست انواع کرم استفادع کردم لیزر کرم اصلن خوب نشد دوست خاهرم ازین کرم استفادع کرد ازش خیلی راضی بودع ب خاهرمم شمارشو داده خاهرمم بهم گف اینم امتحان کنم چون دوستش خیلی ازش راضی بودع اینم گرفتم استفادع کردم بعد دوماه کل لکام رفت بخدااصن باورم نمیشد که ی کرم تا این حد خوب باشع اونم باهزینه کم چون واس دکتر و لیزر کلی خرج کردع بودم ۰۹۰۱۲۲۸۲۵۳۲اینم شمارش اگع نتیجه گرفتین برام دعا کنین چون واقعن کرماش عالی بود گفتم براش تبلیغ کنم  خداحفظش کنه
*بیاید به پوستمون برسیم* ,233268,سارا۱۲۴,7,پیجم دارن تو اینستا  برین مشتریاشونو ببینین
*بیاید به پوستمون برسیم* ,233268,,,بچه ها باورتون نمیشه! برای بچم از «داستان من» با اسم و عکس خودش کتاب سفارش دادم، امروز رسید خیلی جذذذابه، شما هم برید ببینید، خوندن همه کتابها با اسم بچه خودتون مجانیه، کودکتون قهرمان داستان میشه، اینجا میتونید مجانی بخونید و سفارش بدید.
*بیاید به پوستمون برسیم* ,233268,herfeyii,66,سلام عزیزم منم تو جمعتون راه بدین قدیمیم ولی تعلیق شدم
*بیاید به پوستمون برسیم* ,233268,shabnamm112,3,سلام بچه ها یه سایت خوب واسه پوست پیدا کردم که خیلی اطلاعات خوبی درباره پوست بهتون میده سایت دکتر مرتضی جلالی فخر که من بعضی مقاله هاش رو خوندم خیلی خوشم اومد شما هم برید یه نگاه بندازید https://artabeautymag.com/
قابل توجه کاربران گرامی نی نی سایت,19347,سوگلی_نینیسایت,32136,باشه😒عیدی بهمون حذف تاپیک رو بدید
قابل توجه کاربران گرامی نی نی سایت,19347,غروب۱۳بدرتونم,482,همچنین😍
قابل توجه کاربران گرامی نی نی سایت,19347,wwwروحwwwرضا256,524,🐥
قابل توجه کاربران گرامی نی نی سایت,19347,,,بچه ها باورتون نمیشه! برای بچم از «داستان من» با اسم و عکس خودش کتاب سفارش دادم، امروز رسید خیلی جذذذابه، شما هم برید ببینید، خوندن همه کتابها با اسم بچه خودتون مجانیه، کودکتون قهرمان داستان میشه، اینجا میتونید مجانی بخونید و سفارش بدید.
قابل توجه کاربران گرامی نی نی سایت,19347,یه_من_جدید,4642,🌹🦋
قابل توجه کاربران گرامی نی نی سایت,19347,شرفمسیبیلم,2147,عیدتون مبارک مامان نی نی سایت
قابل توجه کاربران گرامی نی نی سایت,19347,سرخابی2018,27662,عید شما هم مبارک خانم تهرانی❤❤❤
قابل توجه کاربران گرامی نی نی سایت,19347,مریمگلی2,2594,کاش انقد زودی تعلیق نکنین. حدااقل قبلش اخطار بدین
قابل توجه کاربران گرامی نی نی سایت,19347,golnaz78,3298,❤🌹
قابل توجه کاربران گرامی نی نی سایت,19347,هیگانبانا,905,همچنین 🙂
قابل توجه کاربران گرامی نی نی سایت,19347,ثناخاتون,2803,خیلی ممنون
قابل توجه کاربران گرامی نی نی سایت,19347,یه_من_جدید,4642,چطور تاپیک ها رو حذف کنیم
قابل توجه کاربران گرامی نی نی سایت,19347,janjamed,1810,موناجون سال نوت مبارکدلت شاد و لبت خندان بماندبرایت عمرجاویدان بماندخدارا میدهم سوگند برعشقهرآن خواهی برایت آن بماندبپایت ثروتی افزون بریزدکه چشم دشمنت حیران بماندتنت سالم سرایت سبز باشدبرایت زندگی آسان بماندتمام فصل سالت عید باشدچراغ خانه ات تابان بماند
قابل توجه کاربران گرامی نی نی سایت,19347,مامانعدس,1409,شما حذف تاپیک رو درست انجام بدید خدمات بهتر نیاز نیست
قابل توجه کاربران گرامی نی نی سایت,19347,دستکش,8920,ممنونیم خانمی پیشاپیش سال نو شما هم مبارک
قابل توجه کاربران گرامی نی نی سایت,19347,سرزمینننععجایب,3135,ان شاءالله این سال کاربرا بتونن خودشون حذف تاپیک رو انجام بدن!
قابل توجه کاربران گرامی نی نی سایت,19347,sarigalin,28451,سلام خانم تهرانی🤩 پیشاپیش سال نو مبارک.ممنون از زحماتتون❤
قابل توجه کاربران گرامی نی نی سایت,19347,جولان,15882,پیشاپیش سال توام با موفقیت و تندرستی خواستارم خذف تاپیکها را اختیاری قرار بدید و در همه روزها و ساعتها گاهی آدم یه تاپیکی میزنه برا رسیدن به ارامش و دردودل ' که نیازمند حذف فوری هست
قابل توجه کاربران گرامی نی نی سایت,19347,ستارهstar8,19239,امیدواریم تو سال جدید شاهد تغییرات مثبت تو سایت از جمله اختیار حرف تاپیک رو داشته باشیم:))عید شماهم پیشاپیش مبارک🌸💕
قابل توجه کاربران گرامی نی نی سایت,19347,malaketanhaee,3613,با سلام و خسته نباشید ممنون از سایت خوبتون  انشالله تو سال جدید همه اشکها از سر ذوق باشه  همه خنده ها از ته دل باشه همه ب آرزوهاشون برسن انشالله 💞💞🙏🙏
قابل توجه کاربران گرامی نی نی سایت ,19347,ازسارابپرس,12179,سلامبا حذف کاربری:🟥 تاپیک هاتون باقی می مونن.🟥 پست هاتون باقی می مونن.چون خودتون درخواست لغو دادین الان می تونین دوباره درخواست برگشت بدین.توی این تاپیک ۳ تا راه را گفتم:⬇️⬇️⬇️❤❤❤ راه های برگشتن کاربری ❤❤❤topic?topicId=10709459&slug=راه-های-برگشتن-کاربری&postId=282532219
قابل توجه کاربران گرامی نی نی سایت ,19347,آنفیلد_,155,مرسی عزیزم
قابل توجه کاربران گرامی نی نی سایت ,19347,ازسارابپرس,12179,خواهش می کنم.🦋🦋🦋
